song,artist,date,votes,ratings,views,favorites,comments,contributors,acoustic,tonality,capo,chords
Im A Mess,Ed Sheeran,1403281679,1266,4.8482,1565591,37910,55,3,0,Cm,3,"Am,G,C,F,C,Am,G,C,F,G,F,C,G,F,C,G,F,Am,G,F,C,Am,G,F,C,Dm,F,Am,G,C,F,C,Am,G,C,F,G,F,C,G,F,C,G,F,Am,G,F,C,Am,G,F,C,Dm,F,Am,C,G,F,C,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,C,G,Am,Am,C,G,F,G,Am,Am,C,G,F,G,Am"
Sultans Of Swing,Dire Straits,1130803201,1234,4.7966,1565630,37979,54,5,0,Dm,0,"Dm,Dm,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,A,A,Dm,C,Bb,A,A,F,F,C,C,Bb,Bb,Dm,Dm,Bb,C,C,Bb,C,C,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,A,Dm,C,Bb,A,A7,F,C,Bb,Dm,Bb,C,Bb,C,Dm,Dm,C,Bb,C,Dm,C,Bb,C,Dm,C,Bb,C"
Sugar,Maroon 5,1409820302,454,4.63331,1564887,34632,37,9,0,Db,1,"C,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C,F,Am,Dm,C"
Time After Time,Cyndi Lauper,1126742400,390,4.69059,1564627,13449,20,3,0,F,0,"F,G,Em,F,C,C,C,C,C,C,C,C,F,G,Em,F,G,Em,F,G,Em,F,G,C,C,C,C,C,C,C,C,F,G,Em,F,G,Em,F,G,Em,F,G,Am7,Fadd9,G,C,G,Am7,Fadd9,G,C,G,Am7,Fadd9,G,C,G,Am7,Fadd9,G,C,F,G,Em,F,C,C,C,C,C,C,C,C,F,G,Em,F,G,Em,F,G,Em,F,G,Am7,Fadd9,G,C,G,Am7,Fadd9,G,C,G,Am7,Fadd9,G,C,F,G,Em,F,G,Em,F,G,Em,F,G,Am7,Fadd9,G,C,G,Am7,Fadd9,G,C,Fadd9,G,C"
Toxic,Britney Spears,1198713601,564,4.79785,1563986,18863,31,3,1,Am,3,"Am,C,E,F,D,G,Am,Am,Am,Am,C,E,Am,Am,Am,Am,Am,C,E,Am,D,Am,Am,Am,C,E,Am,Am,C,F,E,Am,C,F,E,Am,C,C,F,E,Am,C,F,E,Am,Am,Am,Am,C,E,D,Am,Am,Am,C,E,Am,Am,C,F,E,Am,C,F,E,Am,C,C,F,E,Am,C,F,E,F,E,F,G,E,Am,F,G,E,Am,Am,Am,Am,C,F,E,Am,C,F,E,Am,C,F,E,Am,C,F,E,Am,C,C,F,E,Am,C,F,E,Am,C,F,E,Am,C,C,F,E,Am,C,F,E,Am,C,F,E"
Bridge Over Troubled Water,Simon & Garfunkel,1116374400,699,4.7014,1563482,26096,34,5,0,,3,"C,F,C,F,Bb,F,C,F,C,F,C,F,C,G,Am,G,F,C,C7,F,D,G,C7,F,F#dim,C,A7sus,A7,F,E7,Am,C7,F,F#dim,C,A7sus,A7,F,G9,G7,C,C,C,F,Bb,F,C,F,C,F,C,F,C,G,Am,G,C,C7,F,D,G,C7,F,F#dim,C,A7sus,A7,F,E7,Am,C7,F,F#dim,C,Am,F,Am,E7,Am,D7,F,Am,F,Fm,C,F,C,F,C,F,C,F,C,F,Bb,F,C,F,C,F,C,F,C,G,Am,G,C,C7,F,D,G,C7,F,Fmaj7,D9,C,Am,F,E,E7,Am,D9,C,F,Fm,C"
Million Reasons,Lady Gaga,1475737285,2672,4.88164,1562080,48096,49,10,0,C,0,"C,Am,F,G,C,Am,F,Fsus2,G,G,C,Am,F,Fsus2,G,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,C,C,Am,F,Fsus2,G,G,C,Am,F,Fsus2,G,G,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,Am,F,C,G,Am,F,C,G,F,C,G,Am,F,F,C,Am,G,F,C,Am,G,F,C,Am,G,F,F,F,Am,F,C"
Imagination,Shawn Mendes,1429085592,809,4.87858,1561261,19235,30,12,0,Am,0,"Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,C,G,F,G,C,G,F,G,F,Fm,Gm,Ab,Bb,Am,F,C,G,Am,F,C,G,Am,Am,F,C,G,Am,F,C,G,C,G,F,G,C,G,F,G,F,Fm,Am,F,Am,F,C,G,F,G,C,G,F,G,C,G,F,G,F,Fm,Am,F,C,G,C"
Your Guardian Angel,The Red Jumpsuit Apparatus,1157155201,542,4.73651,1558026,14901,115,5,0,F,0,"C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb,F,C,Dm,Bb"
Take A Bow,Rihanna,1207612801,396,4.82311,1557885,15663,17,1,0,,4,"C,G,Am7,F,C,Bbsus2,C,G,Am7,F,C,G,Am7,F,C,G,Am7,F,C,Bbsus2,C,G,Am7,F,C,G,Bbsus2,C,G,Am7,F,C,G,Am7,F,C,G,Am7,F,Dm7,F,F,Bbsus2,C,G,Am7,F,C,G,Am7,F,C,G,Am7,F,C,Bbsus2,C,G,Am7,F,C,G,Bbsus2,C,G,Am7,F,C,G,Am7,F,C,G,Am7,F,Dm7,F,F,Bbsus2,Fadd9,G,Am7,Dm7,Fadd9,G,Am7,Bbsus2,C,G,Am7,F,C,Bbsus2,C,G,Am7,F,C,G,Am7,F,C,G,Am7,F,Dm7,F,F,Bbsus2,Dm7,F"
The Greatest Showman - Never Enough,Misc Soundtrack,1514456304,2461,4.86741,1557763,50617,59,5,0,Ab,1,"G,D,Em,C,G,D,G,D,Em,C,G,D,Em,C,G,D,G,D,Am,Em,C,G,D,Am,Em,C,G,G,D,Em,C,G,D,Em,C,G,D,Am,Em,C,G,D,Am,Em,C,Cm,G,G,D,Em,C,G,D,Em,C,G"
Passenger Seat,Stephen Speaks,1043971200,83,4.62097,1553163,9072,9,1,0,,0,"E,A,D,G,B,E,G,Em,C,D,G,Em,C,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,Em,Dsus,D,C,D,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em,C,D,D,Dsus,D,Dm7,Dsus,G,Em"
My Immortal,Evanescence,1066867200,640,4.75028,1552970,8174,69,5,1,,0,"A,C#m,A,C#m,A,C#m,A,C#m,A,C#m,A,C#m,F#m,C#m,F#m,C#m,F#m,C#m,E,F#m,D,E,C#m,F#m,D,E,C#m,F#m,D,E,C#m,F#m,D,E,A,C#m,A,C#m,A,C#m,A,C#m,A,C#m,F#m,C#m,F#m,C#m,F#m,C#m,E,F#m,D,E,C#m,F#m,D,E,C#m,F#m,D,E,C#m,F#m,D,E,D,F#m,E,D,F#m,C#m,D,E,F#m,D,E,C#m,F#m,D,E,C#m,F#m,D,E,C#m,F#m,D,E,C#m,F#m,D,E,A,C#m,A,C#m,A,C#m,A,C#m"
When You Say Nothing At All,Ronan Keating,1004486400,166,4.49354,1552698,1563,21,3,0,,0,"G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,G,D,C,D,Dsus4,D,Dsus4,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G,E,B,A,B,E,B,A,B,E,B,A,B,A,B,G,D,C,D,G,D,C,D,G,D,C,D,C,D,C,D,G"
I Lay My Love On You,Westlife,1004486400,31,4.62956,1552086,1603,1,1,0,,0,"Am,Dm,G,C,Em,Am,Dm,F,G,C,G,Am,Dm,G,C,Em,Am,Dm,F,G,C,G,Am,C,F,G,D,A,Bm,A,D,A,Em,G,A,D,Am,Dm,G,C,Em,Am,Dm,G,C,G,Am,C,F,G,D,A,Bm,A,D,A,Em,G,A,D,Em,Em,D,D,Em,Em,D,D,D,G,A,D,G,Bm,D,G,A,E,B,A,E,B,F#m,A,B,E"
California King Bed,Rihanna,1290038401,169,4.64191,1550499,10308,7,5,0,,0,"Csus2,Csus2,Csus2,G,D/F#,Csus2,Csus2,Csus2,G,D/F#,Csus2,Csus2,Csus2,G,D/F#,Em,C,Em,C,Em,C,G,D,G,D/F#,Em,C,G,D/F#,Em,C,G,Csus2,Csus2,Csus2,G,D/F#,Csus2,Csus2,Csus2,G,D/F#,Em,C,Em,C,Em,C,G,D,G,D/F#,Em,C,G,D/F#,Em,C,G,G,D,Em,C,G,D,Em,C,G,D/F#,C,Em,D,C,C,D/F#,G,Am,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G,D/F#,Em,C,G"
Lucky,Jason Mraz,1212969601,169,4.58954,1549864,4867,7,5,0,C,0,"C,C,Am,Dm,G,Em,Am,Dm,G,C,Am,Dm,G,Em,Am,Dm,G,Am,Am,Dm,G,C,Am,Am,Dm,G,C,Am,G,Dm,Am,G,Am,Dm,Am,G,Am,Dm,Am,G,Am,Dm,G,Am,Dm,G,C,Am,Dm,G,Am,Dm,G,C,Am,Dm,G,C,Am,Dm,G,Em,Am,Dm,G,C,Am,Dm,G,Em,Am,Dm,G,Am,Am,Dm,G,C,Am,Dm,G,Am,Dm,G,C,Am,Dm,G,C,Am,G,C,Am,G,Dm,G,C"
This Town,Niall Horan,1475189065,2656,4.89222,1543862,39623,60,7,0,C,2,"G,Em7,Cadd9,G,Em7,Cadd9,D,Am7,D,G,D/F#,Em7,Am7,D,G,G/F#,Em7,C,Em7,Cadd9,G,Em,D,G,Cadd9,Em7,D,G,G,Em,Cadd9,D,Am7,D,G,G/F#,Em7,Am7,D,G,G/F#,Em7,Cadd9,Em7,Cadd9,G,Em,D,G,Cadd9,G,Em7,Cadd9,Em7,D,G,Cadd9,Em7,D,G,Em7,G/F#,G,Cadd9,Em7,Cadd9,G,Em7,D,G,Cadd9,G,Em7,Cadd9,Em7,D,G,Cadd9,Em7,D,G,Em7,D,G,Cadd9,Em7,D,G"
Payphone,Maroon 5,1335225601,406,4.86656,1543415,11889,13,2,0,,4,"C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C,G,Em,D,C"
Stand By Me,John Lennon,1040688000,202,4.66537,1539854,3625,21,3,0,A,2,"G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G,G,Em,C,D,G"
Wonderful Tonight,Eric Clapton,1208476801,2278,4.84191,1536026,11064,37,3,0,G,0,"G,D/F#,C,D,G,D/F#,C,D,G,D/F#,C,D,G,D/F#,C,D,C,D,G,D/F#,Em,C,D,G,G,D/F#,C,D,G,D/F#,C,D,G,D/F#,C,D,C,D,G,Em,C,D,G,C,D,G,D/F#,Em,C,D,C,D,G,G,D/F#,C,D,G,D/F#,C,D,G,D/F#,C,D,G,D/F#,C,D,C,D,G,D/F#,Em,C,D,G,D/F#,Em,C,D,G,G,D/F#,C,D,G,D/F#,C,D,G"
Youre Beautiful,James Blunt,1113782400,568,4.56111,1535418,11377,101,5,0,,3,"C,G,Am,F,C,G,Am,F,F,G,C,F,G,C,F,G,C,Am,F,G,Am,F,G,C,C,G,Am,F,C,G,Am,F,F,G,C,F,G,C,F,G,C,Am,F,G,Am,F,G,C,F,Am,F,Am,F,Am,G,F,G,C,F,G,C,F,G,C,Am,F,G,Am,F,G,C"
Lemon Tree,Fool's Garden,1100131200,603,4.81089,1534077,11479,17,4,0,,1,"Em,Bm,Em,Bm,Am,Bm,Em,Em,Bm,Em,Bm,Em,Bm,Em,Bm,Am,Bm,Em,Em,Bm,Em,Bm,Em,Bm,Em,Bm,Am,Bm,Em,G,D,Em,Bm,C,D,G,D,G,D,Em,Bm,C,A,D,Em,Bm,Em,Bm,Am,Bm,Em,Em,Bm,Em,Bm,Em,Bm,Em,Bm,Am,Bm,Em,B,Em,D,G,B,Em,Bm,Em,Bm,Am,Bm,Em,G,D,Em,Bm,C,D,G,D,G,D,Em,Bm,C,A,D,D,G,D,Em,Bm,C,D,C,D,C,D,G"
No Woman No Cry,Bob Marley,1045008000,778,4.60876,1532385,34292,38,4,0,,0,"C,Am,F,C,F,C,G,C,Am,F,C,F,C,G,C,Am,F,C,F,C,G,C,Am,F,C,Am,F,C,Am,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,F,C,G,C,Am,F,C,F,C,G,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,Am,F,C,F,C,G,C,Am,F,C,F,C"
Forever And Always,Taylor Swift,1226534401,575,4.89686,1529811,12074,41,2,0,,3,"Cadd9,G,D,Em7,Em,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Em7,Cadd9,G,D,Cadd9,G,D,Em7,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,G,D,Cadd9,D,Cadd9,G,D,Cadd9,G,D,Cadd9,D,Cadd9,G,D,Em7,Cadd9,G,D,Cadd9,G,D,Em7,Cadd9,G,D,Em,D,C,Em,D,C,D,Cadd9,G,D,Em7,Cadd9,G,D,Em7,Cadd9,D,Em7,Cadd9,D,Cadd9,D,Cadd9,G,D,Em7,Cadd9,G,D,Cadd9,G,D,Em7,Cadd9,G,D,Cadd9,G,D,Em7,Cadd9,G,D,Em,D,C,Em,D,C"
Paint It Black,The Rolling Stones,1196208001,1378,4.82143,1529593,29392,60,1,0,Em,0,"Em,B,Em,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,D,G,D,Em,Em,D,G,D,A,B,Em,B,Em,B,Em,B,Em,B"
Candy,Paolo Nutini,1239926401,883,4.83455,1525805,19272,44,5,0,Am,0,"Am,Em,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,Am,Em,G,D7,C,G,C,Em,C,G,C,Em,C,G,C,Em,C,G,C,Em,C,G,C,G,C,G,C,G,C,G,C,G"
Unchained Melody,The Righteous Brothers,1062028800,1510,4.83896,1520560,22104,44,5,0,C,0,"C,Am,F,G,C,Am,G,C,Am,F,G,C,Am,G,C,G,Am,Em,F,G,C,C7,F,G,F,Eb,F,G,C,F,G,F,Eb,F,G,C,C,Am,F,G,C,Am,G,C,Am,F,G,C,Am,G,C,G,Am,Em,F,G,C,Am,F,Fm,C"
One Day,Matisyahu,1245801601,709,4.87976,1513573,22145,38,3,0,C,0,"C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C,G,Am,F,C"
White Christmas,Bing Crosby,1038787200,1016,4.6697,1511251,19642,45,10,0,G,0,"G,Gsus4,G,G,Am,D,D7,C,Am,G,Gsus4,G,G,G,G7,C,Cm,G,Em,Am,D,D7,G,Am,D,D7,C,Am,G,Gsus4,G,G,G7,C,Cm,G,Em,Am,D,G,G,Am,D,D7,C,Am,G,Gsus4,G,G,G,G7,C,Cm,G,Em,Am,D,D7,G,Am,D,D7,C,Am,G,Gsus4,G,G,G7,C,Cm,G,Em,Am,D,G,Gsus4,G"
There Is A Light That Never Goes Out,The Smiths,1062028800,847,4.84168,1511085,12702,30,10,0,B,4,"Dm,F,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Dm,F,G,C,Am,F,G,C,F,Dm,G,C,Am,F,G,C,F,Dm,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Am,G,Am,G,F,C,G,Dm,F,G,C,Am,F,G,C,F,Dm,G,C,Am,F,G,C,F,Dm,G,Am,G,Am,G,F,C,G"
Tennessee Whiskey,Chris Stapleton,1432890523,1951,4.82875,1510628,64116,57,0,0,A,0,"E,A,Bm,D,A,A,A,D,A,E,A,A,Bm,D,Bm,A,A,D,A,E,A,A,Bm,D,Bm,A,A,D,A,E,A,A,A,D,A,Bm,D,Bm,A,A,D,A,E,A,Bm,D,Bm,A,A,D,A,E,A,A,Bm,D,Bm,A,A,D,A,E,A,A,Bm,D,Bm,A,E,A,A,D,A,Bm,D,Bm,A,A,D,A,E,A,Bm,D,Bm,A,A,D,A,E,A,Bm,D,Bm,A,A,D,A,E,A,Bm,D,Bm,A,E,E,A,A,D,A,Bm,D,Bm,A,A,D,A,E,A,Bm,D,Bm,A,A,D,A,E,A,A,D,A,Bm,D,Bm,A,A,D,A,E,A,A,D,A,Bm,D,Bm,A"
Impossible,Shontelle,1268784001,299,4.86561,1509687,9192,23,5,0,,1,"Em,G,D,C,Em,G,D,C,Am7,Bm7,C,Dsus4,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Am7,Bm7,C,Dsus4,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,D,C,D,C,Em,G,D,C"
Another Love,Tom Odell,1354752001,911,4.8615,1508449,22132,36,3,0,Em,0,"C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,Em,C,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,G,Em,Bm,C,G,Em,Bm"
Here I Am To Worship,Chris Tomlin,1232582401,1263,4.8036,1506558,37246,43,6,0,D,0,"D,A,Em,D,A,G,D,A,Em,D,A,G,G,D,A,D,G,G,D,A,Bm,G,D,A,Em,D,A,G,D,A,Em,D,A,G,G,D,A,D,G,G,D,A,Bm,G,G,D,A,D,G,G,D,A,Bm,G,A,D,G,A,D,G,A,D,G,A,D,G,G,D,A,D,G,G,D,A,Bm,G,G,D,A,D,G,G,D,A,Bm,G"
About A Girl,Nirvana,1062028800,735,4.69975,1505177,14105,55,7,0,Em,0,"Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,C#,G#,F#,C#,G#,F#,Em,E,A5,C,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,C#,G#,F#,C#,G#,F#,Em,E,A5,C,Em,G,Em,G,Em,G,Em,G,C#,G#,F#,C#,G#,F#,E,A,C,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,C#,G#,F#,C#,G#,F#,Em,E,A5,C,Em,E,A5,C,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G,Em,G"
Hold Back The River,James Bay,1418562252,972,4.83836,1501994,40430,67,3,0,Dm,0,"Dm7,F,Bb,F,Bb,F,C,Dm7,F,Bb,F,Bb,F,C,Bb,Bb,F,F,Dm7,F,Bb,F,Bb,F,C,Dm7,F,Bb,F,Bb,F,C,Bb,Bb,F,C,Bb,F,C,Dm7,F,Bb,F,Bb,F,C,F,Bb,Gm,F,Bb,Gm,Bb,Bb,F,C,Bb,Bb,F,C,F,Bb,Gm,F,Bb,Gm"
Purple Rain,Prince,1133740801,460,4.6056,1498588,8425,19,4,0,Bb,0,"Gm7add11,F,Eb,Bbsus2,Gm7,F,Eb,Bbsus2,Gm7,F,Bbsus2,Eb,Eb,Bbsus2,Gm7,F,F,Bbsus2,Bbsus2,Gm7,F,Eb,Bbsus2,Gm7,F,Bbsus2,Eb,Eb,Bbsus2,Gm7,F,F,Bbsus2,Bb,Gm,F,Eb,Bb,Gm,F,Bb,Eb,Eb,Bb,Gm,F,F,Bb"
Fearless,Taylor Swift,1181001601,454,4.85643,1498391,12504,40,5,0,,3,"D,A,Em,G,D,A,Em,G,D,A,Em,G,D,A,Em,G,D,A,Em,G,D,A,Em,G,A,D,A,Em,G,A,D,A,Em,G,A,D,A,Em,G,D,A,Em,G,D,A,Em,G,A,D,A,Em,G,A,D,A,Em,G,A,Cadd9,D,Em,Em7,G,A,Cadd9,D,Em,Em7,G,A,D,D,A,Em,G,D,A,Em,G,A,D,A,Em,G,A,D,A,Em,G,D,A,Em,G"
Too Close,Alex Clare,1312761601,785,4.89268,1498331,24136,32,1,0,,0,"Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#,G,F#,G,F#,Bm,D,Em,G,F#,Bm,D,Em,G,F#"
Drunk,Ed Sheeran,1316476801,635,4.81566,1497091,23832,31,3,0,,0,"G,G,D/F#,Em,C,D,G,G,D/F#,Em,C,D,G,Em,D,G,C,Em,D,G,C,Em,D,G,C,G,C,Em,G,Em,G,Em,G,C,D,G,D/F#,Em,C,D,G,G,D/F#,Em,C,D,G,Em,D,G,C,Em,D,G,C,Em,D,G,C,G,C,Em,G,Em,G,Em,G,C,D,Em,G,Em,G,Em,G,C,D,Em,Em,G,Em,G,Em,G,C,D"
Hero,Enrique Iglesias,1149206401,846,4.82733,1493397,27928,33,3,0,,0,"E,A,D,G,B,E,G,Em,C,D,G,Em,C,D,G,G,Em,C,D,G,Em,C,D,G,G,D,C,G,D,C,G,D,C,G,D,C,G,Em,C,D,G,Em,C,D,G,G,D,C,G,G,D,C,G,G,D,C,G,G,D,C,G,Em,C,D,G,G,D,C,G,D,C,G,D,C,G,D,C,G,D,C,G,D,C,G,D,C,G,D,C,G,D,C,G,D,C"
Hello,Adele,1445574314,1868,4.86127,1491349,50934,23,4,0,Em,1,"Em,G,D,C,Bm,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,D,Bm,C,Em,D,C,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,G,D,C,Em,D,Bm,C,Em,D,C,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,D,G,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,C,G,D,Em,G,D,C,Em"
